25271.3710423,25176.2833662,25255.9359921
22691.2461273,23899.4237408,23383.7489152
21515.72913,23212.6592997,22157.8757263
19993.7090464,22446.3013451,21149.0368822
18724.8770608,21643.4912049,20263.4926398
17608.9996197,20849.3554549,19570.6173158
16517.8311508,20361.2449709,18872.1392621
15482.6858352,19692.9986484,18337.4994257
14598.8953227,19282.4689954,17681.5985247
13810.9296082,18804.7834524,17064.6437712
13092.5101174,18285.3359723,16627.6026657
12443.1112235,17932.0231639,16016.3684544
11815.6682758,17520.6797655,15618.9277371
11247.0093306,17062.4588109,15230.2525969
10682.2716443,16711.3288153,14860.740626
10143.3653568,16301.4736287,14455.3217619
9796.96105214,15906.934634,14003.810052
9332.69879943,15688.9315005,13561.3342271
8923.0700991,15431.5476028,13203.9299404
8508.06527598,15087.6240627,12912.1335251
8123.33867511,14672.9029824,12591.8649741
7799.84667073,14352.0847095,12342.3964567
7472.3094533,13980.3816517,12039.1194559
7179.86334396,13692.4527325,11808.2246156
6865.21700297,13404.4754108,11587.836495
6614.30272852,13165.5833706,11299.8397517
6320.36486101,12894.8298606,11062.6741877
6086.42169493,12618.1161983,10821.5972589
5859.6812853,12326.6493084,10596.3824429
5662.67481382,11985.583234,10349.5279335
5447.61081363,11720.3434844,10180.438152
5245.4230807,11397.8731402,9971.63945083
5023.65460326,11210.262929,9767.41359813
4892.86879913,11027.8256522,9589.69021322
4727.91231566,10718.3199566,9464.42743912
4597.67647854,10470.0580433,9235.9418245
4461.01198345,10301.5308636,9063.17666988
4342.09227638,10075.923783,8897.82880739
4224.37087301,9924.32956464,8783.09348852
4115.80951013,9762.69350207,8647.28204072
4000.32660659,9468.13731084,8491.13918797
3901.22299968,9260.27204651,8343.54115403
3808.76185813,9051.5252256,8235.32192816
3738.87393132,8905.89969505,8094.38518121
3675.04009338,8705.97037231,7968.04314236
3618.94224396,8475.59447277,7806.92991806
3585.0817948,8333.86653784,7673.25004955
3545.41648068,8177.05296882,7552.0448137
3512.08299255,7995.32404849,7453.47074099
3484.74264927,7842.80564915,7337.55045773
3458.24091906,7725.10419817,7245.22958334
3447.38914409,7578.90150932,7089.57947003
3435.66791088,7429.18083285,7034.31802671
